Authors;Year;Title;Journal;Country;Age class;Months old;CalculatedAgeClass;Mortality or Survival;Social class;Rate;Rate;calculated_rate;SE or CI (95%);Method;Notes;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.31;0,31;0,69;;;Other areas: traffic, territory years: 142;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.04;0,04;0,96;;;Other areas: poaching, territory years: 142;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Pups;< 12 months;Pups;S;NA;0.37;0,37;0,37;;;Annual survival rate (0.37x0.77) multiplied both halves of the year;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Pups;< 5 months;Pups;S;NA;0.48;0,48;0,48;;;Survival rate from birth (mid-April) to mid-November, estimated from mean numbers of pups per pack at both times, so mid-April (6.6) and mid-November (3.2);;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Yearlings;12 months;Yearlings;S;Resident;0.67;0,67;0,67;;;;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Adults;24 months;Adults;S;Resident;0.67;0,67;0,67;;;;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Adults;> 5 months;Adults;S;Non-resident;0.52;0,52;0,52;;;;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;NA;NA;All;S;All radiocollared wolves;0.64 (0.57-0.71);0,64;0,64;range;;No difference found between years (P>0.25);;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Pups;5 - 12 months;Pups;S;Resident;0.77;0,77;0,77;;;;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Yearlings;12 months;Yearlings;S;Resident;0.77;0,77;0,77;;;mid-November to March;;;;;;;;;;;;;;;
Fuller;1989;Population Dynamics of Wolves in North-Central Minnesota;Wildlife Monographs;USA;Adults;24 months;Adults;S;Resident;0.77;0,77;0,77;;;mid-November to March;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
